term,phrase,meaninglanguage1,meaning1,meaninglanguage2,meaning2
verdaut,wenige kaut man und verdaut sie ganz,en,"(er/sie/es) v. digest, break down and absorb;",,
gekostet,"Manche Bücher müssen gekostet werden, manche verschlingt man",en,to cost OR to taste / try sth,,
verschlingt,"müssen gekostet werden, manche verschlingt man, und nur einige",ru,"1) проглатывать, жадно глотать (пищу)  2) перен поглощать, съедать  II *  1.  vt связывать (узлом), сплетать, переплетать (ленты, линии и др.)  2. sich verschlingen  1) сплетаться, переплетаться (о нитях, линиях)  2) перен переплетаться, пересекаться",,
geraunten,"wollte sie verstehen, die geraunten, leisen, fast unverständlichen Wörter",en,murmured,,
unverständlichen,"die geraunten, leisen, fast unverständlichen Wörter, die die beiden",en,incomprehensible,,
blanke,mit ihr in die blanke Luft malen,en,"blank, empty, pure, sheer",,
quere,…Tante nicht in die Quere kommen.“ Er benahm sich…,en,"cross, get in the way, impede",,
stille,...ihre Schritte in der Stille.,en,"(die) silence, quiet, stillness, tranquility",,
gehauen,...Meter hoch und aus Stein gehauen.,en,"v. pp. 1. to cut, to chop away, to shape, to form to carve; 2. to hit, to bang",,
entfernte sich,"...allein“, sagte diese und entfernte sich.",en,to depart (oneself) from,,
sah,Sie sah älter aus als die...,en,saw,,
bewacht,...das Plateau von Gizeh bewacht.,en,"adj.  guarded, kept safe, protected; watched over",,
felukenfahrt,Hier treten wir eine Felukenfahrt an.,uk,"Атракціон ""Фелукка",,
wiegen,"...000 Menschen gebraucht, um sie zu bauen, und sie...",en,Weigh,,
blitzten,"…lächelte, daß alle Zähne blitzten.",en,flashed,,
feluke,Eine Feluke ist ein typisches ägyptisches...,uk,Фелукка.,,
segelschiff,...ist ein typisches ägyptisches Segelschiff.,uk,вітрильне судно,,
benahm,…die Quere kommen.“ Er benahm sich total anders als…,en,behaved,,
schiffsruder,Kinder auch manchmal ans Schiffsruder,uk,Кермо корабля,,
wichen,Gemeinsam wichen sie zurück zu der…,en,"Retreat, withdraw, soften, move",,
gabeln,eine Flasche Wasser zwei Gabeln zwei,en,fork,,
meißeln,...dem Hammer Hieroglyphen zu meißeln oder archäologisch mitzuhelfen.,en,"v. chisel, sculpt, gouge",,
jungfer,...bist doch eine alte Jungfer.“,en,"virgin, maiden, maid; spinster,",,
landrat,"Ein Landrat, sieht sehr gut aus...",en,der: district administrator,,
schloß,"…ging an ihnen vorbei, schloß auch diese Tür und…",en,castle,,
knacken,…und ließ die Gelenke knacken.,en,"click, crack, snap",,
baute,…auch diese Tür und baute sich davor auf.,en,built,,
gepäckband,…Koffer kommen auf das Gepäckband.,en,luggage conveyor belt,,
gelenke,…Hände und ließ die Gelenke knacken.,en,"joint, junction, connection, link, point of connection (between limbs, etc.)",,
vollkommen,"…angeht, bin ich leider vollkommen unbegabt”, antwortet Franka.",en,"completely, totally, absolutely",,
ausflüge,"...können wir Märkte besuchen, Ausflüge machen, in den Korallen...",en,"(der, -:e) n. pl. trips, excursions, tours",,
heim,"Papi, Papi! Ich will heim, Papi!",en,"(das) n. home, (adv.) home",,
schaukelpferdes,…schimmerte im Auge des Schaukelpferdes und auch im Auge…,en,Rocking horse,,
brauch,"...Sankt Petersburg ist es Brauch, die Gäste mit einem...",en,"custom, manner, habit; tradition",,
schriftsteller,…Hotel sind oft auch Schriftsteller.,en,"author, writer",,
mondänen,…die beiden Protagonisten im mondänen Inselhotel in Konstanz ein…,en,fashionable,,
durchsichtigen,...einen Schuh und: einen durchsichtigen Plastikbeutel mit Spuren eines...,en,"see through, transparrent",,
aufpasst,"...bestimmt besser, wenn man aufpasst.“",en,to pay attention;,,
stachelbeeren,...wenn Hertha von den Stachelbeeren hier auf den Tisch...,en,gooseberry,,
schalen,"Aber wirf die Schalen nicht zu Boden, Mama...",en,bowl,,
bein,...man sich sonst das Bein brechen kann.“,en,(das) leg,,
pulvers,...mit Spuren eines weißen Pulvers.,en,"(das, -) n. powder",,
daran,Aber wer ist daran schuld?,en,"because, about that",,
schnorcheln,"...machen, in den Korallen schnorcheln, mit einem U-Boot...",en,to snorkel,,
erwiderte,"Wie heißt du?“ „Polly“, erwiderte Polly.",en,"replied, answered",,
unterm,"…ein eckiges, hartes Ding unterm Kopf«, hatte ihr Vater…",en,"(=unter dem) beneath, under, below",,
entgehen,…darf ich mir nicht entgehen lassen.,en,"elude, avoid, escape, leak out",,
gedauert,"...es hat rund 20 Jahre gedauert, bis sie fertig...",en,"last, continue, endure, persist",,
Gib zu,"Gib zu, es flüstert dir nachts…",en,admit it,,
regiment,...in der Nähe im Regiment.,uk,полк,,
befestige,...ist schwer und ich befestige,en,attach,,
indizien,Du hast zwei Indizien.,en,(n. Indiz) piece of circumstantial evidence,,
schimpft,…Er schimpft nicht?,en,"insults, swears, curses, complains, rants",,
liege,"…schaut sofort auf die Liege, die neben ihrem Bett…",en,"die. cot , couch",,
stottert,"…war gerade noch da“, stottert Emma.",en,stutters,,
weggelaufen,"...nie von zu Hause weggelaufen“, antwortet Selina.",uk,тікати  геть,,
herunterladen,…wie er die App herunterladen kann.,en,download,,
verdorben,…sie ihm einen Tag verdorben.,en,"verderben v. spoil, ruin, undo, wreck, devastate, deprave,",,
blöde,Diese blöde Emma hat das Gartentor…,en,"adj.  stupid, idiotical, foolish, ridiculous, senseless",,
wimmelt,Dort wimmelt es immer von Touristen!,en,swarms,,
aufteilen,"…Wollen wir uns aufteilen?“, fragt Lars.",en,split up,,
siebt,…Wir sind zu siebt.,en,seventh,,
bilden,"Bilden wir drei Gruppen!“, schlägt…",en,form,,
daraufhin,Daraufhin sagt Lars schnell:„ Julia…,en,thereupon,,
siegessäule,"…Wir gehen Richtung Siegessäule“, meint Akram.",en,Berlin Victory Column,,
tierheime,…die Polizei und die Tierheime informieren sollen.,en,animal shelters,,
warfen,Digory und Polly warfen sich einen Blick zu.,en,"v. throw, cast, chuck, toss",,
esel,…mit so einem alten Esel wie mir zu reden.“…,en,der; donkey,,
wagten,"Sie wagten es nicht, etwas zu…",en,"v. venture, risk, dare, hazard",,
widersprach,"…nur ein, mein Schätzchen“, widersprach Onkel Andrew und lachte.",en,"v. contradict, oppose, controvert, dispute, talk back",,
besinnen,…er sich anders zu besinnen.,en,"think over, consider; remember, recall",,
verschlagen,…wiederkommt?“ Onkel Andrew lächelte verschlagen.,en,"tricky, artful, devious",,
angezündet,…sogar selbst das Feuer angezündet.,en,"lit by firelight, set on fire",,
angestellten,...Schalter und zeigt der Angestellten seinen Dienstausweis.,en,"clerk, bureaucrat, minor office worker;",,
wertvoll,"Ist sie denn wertvoll?“, frage ich.",en,"adj. valuable, of great worth, costly, estimable, precious, expensive",,
störte,"…lieber tanzen gehen, da störte so ein kleines Mädchen…",en,"bothered, disturbed",,
gemeinsam,...Beier und er etwas gemeinsam haben: die Leidenschaft für...,en,together,,
selbstsüchtige,"Oscar Wilde, Der selbstsüchtige Riese",en,selfish self-seeking self-absorbed narcissistic,,
panne,hatte mein Auto eine Panne,en,"(die) breakdown, puncture; hitch, delay, problem",,
läutete,"…nahm, um ihn anzurufen, läutete es.",en,"sound, be heard, produce a sound",,
biss,"…also gelogen“, sagte ich, biss in meine Pizza und…",en,(past) to bite,,
erwischt,Ausreißer aus Schwaben erwischt.,en,"caught, got, nabbed",,
packt,Bene packt Jacqui am Arm.,en,"(er/sie/es) v. präs. packs, wraps, puts in cases; seizes, captures, catches",,
ungläubigem,...und dann Meggie mit ungläubigem Gesicht.,en,"incredulous, unbelieving",,
abschlussbericht,"Sein Abschlussbericht war perfekt. Ausführlich, detailliert...",en,(der) final report,,
hebt,Stefan hebt schnell den Kopf und...,en,"lift, raise, hoist, elevate",,
uhren,Sein Spielzeug und seine Uhren sind magisch.,en,"(die)  n. clock, watch, timepiece,",,
rast,Rufus rast hinter dem Stock her…,en,"careen, fly, pass quickly",,
rauch,Raum gibt es viel Rauch,en,"(der) smoke, fumes",,
atemlos,"...durchs Haus, bis sie atemlos vor Lachen in ihr...",en,breathless,,
verschwinden,Eva sagt leise: „Verschwinden wir von hier!“,en,"disappear, vanish",,
krach,...als er plötzlich einen lauten Krach hört ...,en,"boom, crash, rumble, loud noise, din; (der)",,
dicht,…Staubfinger stand jetzt ganz dicht vor Meggie.,en,"tight, close; impervious; dense",,
blutvergiftung,...Lord Carnarvon bekommt eine Blutvergiftung und stirbt.,en,Blood poisoning,,
heimatstadt,in ihrer Heimatstadt München bleiben. Sie nimmt…,en,hometown (die),,
genießen,"...lernen, die Sprache zu genießen.",en,"enjoy, relish, take pleasure in, savour",,
flammten,"…den Häusern am Ufer flammten die ersten Lichter auf,…",en,"blazed, flared",,
deutlich,"...nah, dass sie jetzt deutlich horen, was sie sagen.",en,"clearly, exactly",,
nachdem,"…etwas anders klang, je nachdem, ob sie schon wusste,…",en,after that,,
darauf,"...Stück, ein paar Zahlen darauf, ein paar Buchstaben ...",ru,"потом, затем, после, на том, на этом, от того, тогда, вслед за этим",,
dienstwagen,...und fährt mit seinem Dienstwagen zur Polizeistation.,en,"der. staff car, company car, official car",,
frühdienst,Heute hat er Frühdienst. Mit einem Kollegen ist...,en,n. early duty/service/shift,,
streifenwagen,...er heute in einem Streifenwagen unterwegs.,en,(der) patrol car,,
notruf,"Wenn ein Notruf kommt, fahren sie dorthin...",en,"(der) emergency call, telephone call requesting assistance in an emergency",,
verkehrsunfall,...geht es um einen Verkehrsunfall oder einen Ladendiebstahl.,en,traffic accident,,
autofahrer,"...fahren, beobachten sie einen Autofahrer, der ziemlich unkontrolliert fährt.",en,Motorist,,
alkoholmessgerät,...er noch in das Alkoholmessgerät blasen.,en,alcohol meter,,
unkontrolliert,"...einen Autofahrer, der ziemlich unkontrolliert fährt.",en,uncontrolled,,
eintrag,...ist. Es gibt keinen Eintrag. Er darf seinen Führerschein...,en,"(der)  n. entry, information entered (in a book, list, etc.)",,
anzeige,"...einen Bericht und eine Anzeige schreiben müssen. Dort angekommen,",en,"(die) advertisement, notice",,
schalten,"...finden sie verdächtig, daher schalten sie das Blaulicht ein...",en,"switch, turn, turn on",,
zulassung,...den Führerschein und die Zulassung. Dann muss er noch...,en,admission,,
blasen,...noch in das Alkoholmessgerät blasen.,en,blow,,
behalten,"...Er darf seinen Führerschein behalten,",en,"keep, retain possession of, hold onto",,
belohnung,...Verbrecherbande und kriegen eine Belohnung.,en,"reward, payment",,
erhält,erhält jedoch eine Vormerkung. An...,en,"get, receive",,
vormerkung,erhält jedoch eine Vormerkung. An manchen Tagen ist...,en,"(die, -en) n. caution",,
nahestehende,...damit weder sie noch nahestehende Personen verletzt werden. Dafür...,en,"nahestehend  adj.  associated, related",,
einsätze,"...gibt nur selten gefährliche Einsätze, da sie in einer...",en,"strategic actions, operations;",,
täter,"...Ja, wir haben den Täter schon.",uk,злочинець,,
bewaffneten,haben sie einen bewaffneten Täter. In solchen Situationen...,en,"bewaffnen v. arm, equip with weapons",,
abschließen,"mehrjährige Ausbildung abschließen, bevor er Polizist werden...",en,"v.  lock, latch, shut, close; accomplish, finalize, end, sum up, complete",,
waffe,...Job noch nie seine Waffe verwenden. Und darüber ist...,en,weapon (die Waffe),,
schimpfte,...langweilige Erklärungen für alles!“ schimpfte Digory.,en,"schimpfen - to badmouth, to rant, to offend, to scold",,
kerzenschein,...als eben noch bei Kerzenschein in der Schmugglerhöhle.,en,Candlelight,,
gespann,"...Mund auf das seltsame Gespann: Einen Wolf, der einen...",en,"Team, term referencing the horse and cart tethered together",,
vergnüglich,...auf denen es sehr vergnüglich zuging und nicht gerade...,en,"enjoyable, amusing, funny",,
spitzbart,...alter General mit grauem Spitzbart.,en,"Goatee, pointed beard",,
riesigen,Und es gibt einen riesigen Garten mit Apfelbäumen.“,uk,величезний,,
zuging,...denen es sehr vergnüglich zuging und nicht gerade wenig...,en,"approach, come near to",,
leuchtend,Er hatte ein leuchtend rotes Gesicht vom vielen...,en,"bright, luminous",,
weinbrand,...sich dann über den Weinbrand her.,en,brandy,,
entzündete,Sofort entzündete sich eine Flamme und...,en,inflamed; irritated; infected,,
beworben,"...Offizier bei der Armee beworben, musste aber viele Monate...",en,applied,,
vertrug,Am meisten aber vertrug ein alter General mit...,en,"tolerated, took",,
aufzubehalten,...bei Tisch seinen Hut aufzubehalten.,en,"to keep something on, to leave undone, keep undone",,
gelegenheit,"Beim der nächsten Gelegenheit, als wieder einmal viel...",en,"chance, occasion, possibility, opportunity",,
angewohnheit,"Der General hatte die Angewohnheit, bei Tisch seinen Hut...",en,"(die) habit, mannerism",,
abgeschlagen,...einem Säbelkampf die Schädeldecke abgeschlagen wurde.,en,"chopped, cut",,
trinkgelage,"...entdeckte, dass er beim Trinkgelage hin und wieder seinen...",en,(das) drinking bout,,
nüchtern,...der General war wieder nüchtern.,en,sober,,
anhob,...wieder seinen Hut etwas anhob.,en,"elevated, raised",,
absetzen,...er den Hut nicht absetzen.,en,remove,,
verdunstete,Der Alkohol verdunstete und der General war...,en,evaporated,,
funken,...sich eine Flamme und Funken sprühten.,en,"spark, flicker; small particle, small amount",,
sprühten,...eine Flamme und Funken sprühten.,en,"sprühen v. spray, sprinkle, bubble, effervesce",,
feuersäule,Die Feuersäule umrahmte sein Gesicht wie...,en,Pillar of Fire,,
umrahmte,Die Feuersäule umrahmte sein Gesicht wie ein...,en,framed,,
heiligenschein,...sein Gesicht wie ein Heiligenschein.,en,"(der) halo, nimbus, aura",,
entzückt,Auch der General war entzückt von diesem Experiment.,en,"thrilled, charmed, delighted, enchanted",,
veranstaltungen,…ein Partyraum für größere Veranstaltungen.,en,"(die, -en) n. pl. events, functions",,
wohnheims,Im Keller des Wohnheims befinden sich ein großer…,en,"Hostel, dormitory",,
rundfunk,"…sind Anschlüsse für Telefon, Rundfunk und Fernsehen vorhanden sowie…",en,radio,,
jeweiligen,"…gemeinsamen Räumlichkeiten sorgen die jeweiligen Bewohner selbst, Treppen und…",en,"respective, particular, current",,
sanitärraum,…einen Aufenthaltsraum sowie einen Sanitärraum mit Duschen und Toiletten.,en,Sanitary room,,
inbegriffen,…Anschlüsse sind im Preis inbegriffen.,en,"included, inclusive",,
kompetenz,"…Erfahrungen älterer Studenten, soziale Kompetenz wird gefördert und die…",en,"nf. competence, ability, capability",,
vorteile,…im Humboldtheim bringt nur Vorteile: Erstsemester profitieren von den…,en,advantages,,
räumlichkeiten,…und Sauberkeit der gemeinsamen Räumlichkeiten sorgen die jeweiligen Bewohner…,en,rooms,,
wohl,"...Stefan, du glaubst doch wohl nicht an diese alten...",en,"probably, very likely, possibly",en,"good, well"
heizung,"…Nebenkosten für Strom, Wasser, Heizung und Anschlüsse sind im…",en,"(die) heating, process of warming",,
vorhanden,"…Telefon, Rundfunk und Fernsehen vorhanden sowie ein kostenloser Zugang…",en,"available, existing",,
studentenwohnheim,Studentenwohnheim,en,(das) dormitory,,
aufenthaltsraum,…gemeinsame Küche und einen Aufenthaltsraum sowie einen Sanitärraum mit…,ru,"(der, -:e) комната отдыха, общая комната, салон, холл, бытовое помещение, зал ожидания, лаунж",,
gefördert,"…Studenten, soziale Kompetenz wird gefördert und die gemeinsame Freizeitgestaltung…",en,"aid, help, assist; move forward, expedite, facilitate",,
nebenkosten,"Die Nebenkosten für Strom, Wasser, Heizung…",en,(die) utilities (of an apartment),,
freizeitgestaltung,"…gefördert und die gemeinsame Freizeitgestaltung macht es einfach, Freunde…",en,RECREATION,,
dinge,Macht Kathrin viele verschiedene Dinge?,en,"(das, -e) n. pl. things, objects, items",,
ortung,Glück gehabt! Die Ortung funktioniert sofort.,en,"(die) positioning, localisation, tracking, position finding, locating, detection",,
kümmert,auch Biologie am liebsten kümmert sie,en,(er/sie/es) v. präs. takes care,,
anstrengender,Das war wieder ein anstrengender Tag. Aber er hat…,en,exhausting,,
umzugsunternehmen,…als Aushilfe bei einem Umzugsunternehmen beworben.,en,moving company,,
aufgebaut,…von den Umzugshelfern wieder aufgebaut.,en,"raised up, built up, developed",,
benötigt,Eine alte Frau benötigt Hilfe beim Transport ihrer…,en,"need, require",,
lkw,…und Möbel in den LKW geladen sind.,en,Last Kraft Wagen (truck),,
aushilfsjob,Ein Aushilfsjob kann eine gute Möglichkeit…,en,"Part-time, temporary job",,
geladen,…Möbel in den LKW geladen sind.,en,"laden, loaded, charged",,
umzugshelfern,…die Möbel von den Umzugshelfern wieder aufgebaut.,en,moving helpers,,
schatten,Der Garten lag im Schatten.,en,"(der) Shaddow, shade",,
sogar,"Sie können sogar einen Tutoren fragen, der",en,"adv. even, yet, actually, in fact, as a matter of fact",,
irgendwie,Genau.“ sagt Georg: „Irgendwie muß ich in Beiers...,en,"anyhow, in some manner",,
kampf,...und gar mit dem Kampf beschäftigt. Schweine!“,en,"(der, -:e) n. battle, combat, fight",,
seniorenheim,#412 Seniorenheim,en,"retirement home	Seniorenheim {n}	
	old age home	Seniorenheim {n}",,
änderte,…sich für alle Zeit änderte– lag eins von Meggies…,en,"changed, altered",,
nötig,...wir haben das Geld nötig.“ Das Leben in Prag...,en,"necessary, essential, needed",,
bellte,"Irgendwo in der Dunkelheit bellte ein Hund, und Meggie…",en,"(ich//er/sie/es) v. prät. barked, bellowed",,
betritt,Geschäft betritt lacht ihr ihre Freundin,en,(er/sie/es) v. präs. enters,,
spart,...Bauwerken der alten Agypter spart man nicht.,en,"economize, save, reserve, save for later, keep back for future use, set aside for a specific purpose, lay aside, conserve",,
ausbildung,Nach Am Ende dieser Ausbildung machen sie eine Prüfung...,en,"schooling, education, training",,
hals,...sie immer um den Hals.,en,neck (der),,
entscheidend,"Für ihn ist entscheidend, dass er Menschen helfen…",en,"crucial, deciding",,
entfernt,"...Land, nicht sehr weit entfernt von der Stadt.",en,"far away, remote",,
betreut,…in einem Seniorenheim und betreut dort alte Menschen.,en,"look after, care after, watch after, supervise",,
einsam,…des Altersheims sind sehr einsam.,en,"lonely, solitary, lonesome",,
stundenlang,Ich kann einfach nicht stundenlang am Schreibtisch über den...,en,for hours,,
völlig,"Sie sieht wie eine völlig normale Frau aus, nicht...",uk,повністю,,
daß,"...fremden Kopf zu waschen, daß es schäumte.",en,"that, in order for; provided",,
treppe,Müde geht Emma die Treppe zu ihrer Wohnung hoch.,en,"(die, -n) n. stairs, staircase, stairway",,
legte,...Lieblingspullover in einen Koffer legte.,en,"lay, put, set, place, insert, fix in place, locate; sow",,
schiff,"...verfallen, so dass unser Schiff zur rechtmäßigen Beute wurde...",en,(das) ship; boat,,
weise,"Es erklärt auf spannende Weise, wie man damals Tote...",uk,"(die, -n) n. спосіб, манера, шлях, мода",,
zwar,Ich versuche zwar mein Bestes zu geben...,ru,"правда; хоть, хотя, а именно, и притом, то бишь",,
druck,"...sie wollen, ganz ohne Druck oder Gewalt.",en,(der) pressure,,
tröstet,"Er weint, Omi tröstet und die Kette ist...",en,"(er/sie/es) v. comfort, console, relieve, soothe",,
ausgemessen,"Als sie den Dachboden ausgemessen hatten, mußten sie sich...",en,measured (out),,
dessen,"...dass mit diesem Fremden, dessen Name so seltsam und...",en,whose,,
solche,Ich habe solche Bauchschmerzen.,en,such,,
ähnlich,Dein Bruder sieht dir ähnlich.,en,"alike, similar",,
nämlich,Sie hat nämlich Angst vor Wasser.,uk,"а саме, тобто; насправді, дійсно",,
tod,wirst dir noch den Tod holen,ru,Смерть,,
addieren,...sich einen Bleistift zum Addieren besorgen.,en,"v.  add, supplement; sum,",,
saß,In der Stube saß eine Frau und hielt...,en,sat,,
bleistift,...mußten sie sich einen Bleistift zum Addieren besorgen.,en,"(der) = pencil, lead pencil",,
zuvor,...er dann am Abend zuvor gehört?,en,"before, beforehand, previously",,
vorrat,...eine Kerze aus Pollys Vorrat in der Schmugglerhöhle.,uk,запас,,
eingerichtetes,"...war, sondern ein voll eingerichtetes Zimmer.",uk,мебльовані,,
befahl,"...uns ganz mucksmäuschenstill verhalten!“ befahl Polly, als sie bei...",uk,наказав,,
gewaltig,"...Gang, und es zog gewaltig.",uk,величезний,,
krochen,...in den dunklen Gang krochen.,uk,підкралися,,
mühsam,"Digory schob mühsam den Riegel zurück, und...",uk,нудно,,
mucksmäuschenstill,"Wir müssen uns ganz mucksmäuschenstill verhalten!“ befahl Polly, als...",uk,тихий як мишка,,
riegel,"...es nicht, aber einen Riegel, so wie manchmal innen...",uk,засувка замок,,
angriff,"...eilig, ihre Expedition in Angriff zu nehmen.",uk,напад,,
rückzieher,...von beiden wollte einen Rückzieher machen.,uk,відказ відступ,,
siegte,Pollys Neugier siegte schließlich.,uk,виграв,,
rückenlehne,"...ein Sessel, dessen hohe Rückenlehne in ihre Richtung zeigte.",uk,спинка,,
scheußlich,...der Sommer war wirklich scheußlich in diesem Jahr.,uk,жахливо,,
spürten,"Beide spürten, daß es jetzt ausgesprochen...",en,відчувати,,
baulichen,Vom Baulichen her sah der Raum...,uk,структурний,,
entsetzen,"...sie zu ihrem großen Entsetzen, daß das keine leere...",uk,жах,,
prasselte,Im Kamin prasselte ein Feuer - der Sommer...,uk,потріскував затріщав,,
backsteinmauer,...wo rechts in der Backsteinmauer eine Tür lag.,uk,цегляна стіна,,
blies,Sie blies ihre Kerze aus und...,uk,дути здути сосати,,
einfangen,...ihn von dort besser einfangen.,en,"to catch, get hold of",,
verleiher,"Alex versichert dem Verleiher, dass sie den Roller...",en,"(der) lender, bestower, renter",,
ausleihen,"...darf man ihn nur ausleihen, wenn man vorher ein...",en,borrow,,
lenkstange,...und sich an einer Lenkstange festhält.,en,Handlebars,,
ausgeliehen,"Ausgeliehen!“, erklärt Alex.",en,"borrow, lend",,
zwischenzeit,In der Zwischenzeit passen sie gut auf...,en,(die) n. meantime,,
augenblicklich,"...sagt, wo Rufus sich augenblicklich befindet.",en,"instantly, immediately",,
verlauf,"...kann ich dir den Verlauf der Mauer zeigen, vielleicht...",en,"(der, -:e) course, road, street, progression, process",,
ständigen,"Sie sind im ständigen Kontakt mit Florian, der...",en,"permanent, lasting, established, resident, regular, continual, constant",,
rasen,Auf dem Rasen vor dem Reichstag gibt...,en,"(n.) lawn  (v.) race, rage",,
kreis,"...eine Menschenmenge, die einen Kreis bildet.",en,(der) circle; district,,
stasi,"…Hohenschönhausen war doch das Stasi-Gefängnis“, erinnert sich Lars.",en,ministry of state security in the DDR,,
schallplatten,"…kann dort Secondhandkleidung, Schmuck, Schallplatten und vieles mehr finden.",en,"Record, LP",,
hinterher,"…Los, hinterher!“, ruft Alex.",en,afterwards,,
aufnahme,…Ich habe mir die Aufnahme angesehen.,en,"consumption, reception, recording",,
ausstellungen,"…eine Gedenkstätte, wo auch Ausstellungen stattfinden“, weiß Tom.",en,"exhibition, display, show",,
genaue,…nennt ihm auch Rufus' genaue Position.,en,"accurate, precise, exact",,
tierheim,"…Hier ist ein Tierheim!“, ruft Julia aufgeregt.",en,(das) animal home/shelter,,
wohngegend,"…Das ist keine Wohngegend...“, meint Lars.",en,"(die) residential area, neighborhood, (living area)",,
gejagt,…und quer durch Berlin gejagt!,en,"hunt, chase, drive, pursue, shoot",,
vermutung,…um ihm von ihrer Vermutung zu berichten.,en,assumption,,
stärkung,…sie brauchen eine kleine Stärkung.,en,strenghtening,,
gedenkstätte,…und kommen an der Gedenkstätte 5 Berliner Mauer vorbei.,en,(die) Memorial,,
führungen,"Es gibt auch Führungen, die sehr interessant sind“,…",en,"(die, -en) n. pl. Guided tours",,
ehemalige,"…Jetzt ist das ehemalige Gefängnis eine Gedenkstätte, wo…",en,"former, earlier, prior",,
flohmarkt,Flohmarkt,en,(der) Flea Market,,
stadtführung,"…Emma eine ganz besondere Stadtführung durch Berlin gemacht!“, sagt…",en,Guided tour,,
anwohner,"…sind Studenten, Künstler oder Anwohner.",en,(der) resident,,
trennte,Früher trennte die Mauer dort den…,en,"separate, set apart, sever, remove, take off, undo, distinguish, differentiate",,
imbissstände,"Es gibt auch viele Imbissstände, an denen man etwas…",en,food vendors,,
verließen,…als sie die Oper verließen.,en,left,,
verdacht,Damit der Verdacht auf den armen Henry…,en,"(der) suspicion, conjecture",,
bemerkt,"...zu einem Feierabendbier getroffen …“, bemerkt Peter.",en,"noticed, observed",,
sauer,Franz ist sauer.,en,"acidic, acid; angry; sour",,
tatzeitpunkt,Das würde gut zum Tatzeitpunkt passen.,en,Time of the offense,,
zugang,…vorhanden sowie ein kostenloser Zugang zum Internet.,en,"(der)  n. access, entry, entrance,",,
tageseinnahmen,Dann zählt er die Tageseinnahmen.,en,"daily takings, daily income",,
überlebt,Ein Junge überlebt.,en,"last, remain alive, survive; reside",,
albträume,Alma hatte noch jahrelang Albträume deswegen.,en,nightmares,,
gerettet,…dass sie Maria nicht gerettet hat.,en,"(adj, past part) saved, rescued, salvaged",,
reicht,JAN: Was? Jetzt reicht es aber.,en,"v. hand over, deliver, present, bestow, grant, give, offer; suffice, be enough; reach, extend, stretch, reach out",,
sperrmüllsammlung,Aber am Freitag ist Sperrmüllsammlung.,en,bulky waste collection,,
schrauben,Sogar die Schrauben sind in einer Plastiktüte…,en,screws,,
sperrmüll,#679 Immer wieder Sperrmüll auf der Straße,en,(der) bulky refuse,,
verändert,...hier reingeht die Türen verändert.,en,"change, alter",,
bestellen,"Lassen Sie uns bestellen, da kommt der Ober.",uk,замовити,,
umzugskartons,…nächsten Tag und packen Umzugskartons.,en,"packing case, box in which things are packed",,
mordopfer,"…Um Alma Diaz, das Mordopfer.",en,(das) murder victim (also pl.),,
streit,Ich habe ihn im Streit von einer Brücke in…,en,"(der) argument, conflict, fight, quarrel",,
ehrlich,…mir nicht alles erzählst.. Ehrlich gesagt: ja.“,en,"(not) true, honest, sincere",,
besonderes,"Sie haben ein ganz besonderes Talent, andere zu manipulieren...",en,"adj.  distinctive, special, unique, different; specific, particular",,
verbindet,…Santa Inés in Argentinien verbindet.“„ Wonach soll ich genau…,en,"(er/sie/es) v. präs. links, combines, connects",,
heimatdorf,…was sie mit ihrem Heimatdorf Santa Inés in Argentinien…,en,(das) home village,,
bühne,...ein Moderator auf die Bühne und präsentiert die Konkurrenten.,en,(die) Stage,,
weinend,Weinend steht sie da.,en,"weeping, sobbing",,
betrogen,"Er hat mich ja betrogen, nicht sie.“",en,"cheated, deceived, swindled, betrayed, fooled",,
entspannte,Anita entspannte sich ein wenig.,en,relaxed,,
bühnenarbeiter,"…heute Morgen, als die Bühnenarbeiter kamen, war Alma auf…",en,"stagehand, stage worker (der)",,
scheidung,…aber nicht gleich die Scheidung. Und da...“,en,"(die) divorce, separation",,
dauernd,"…überhaupt nicht, warum Sie dauernd über diese blöde Affäre…",en,"constantly, repeatedly, lasting",,
opfer,…großes Feuer mit einem Opfer.,en,"(das) sacrifice, victim,",,
schulden,Ein großer Berg Schulden.,en,debts,,
verdiente,…sie so viel Geld verdiente und ich hatte gar…,en,earned,,
tapezieren,"…mit dem Streichen und Tapezieren fertig sind, brauchen sie…",en,"to wallpaper, to decorate",,
verletzungen,"…sich zwar ohne schwere Verletzungen retten, aber sie musste…",en,injuries,,
demselben,Hören Sie demselben Inhalt so oft wie...,en,the same,,
träne,…für alle.“ Wieder eine Träne.,en,"(die) tear, teardrop",,
geärgert,irgendeinem Grund über dich geärgert hat,en,"irritated, annoyed",,
tränen,...sieht Emma an und Tränen laufen über ihr Gesicht.,en,n. pl. tears,,
reinigungskraft,…hatte als nächstes die Reinigungskraft vor mir.,en,cleaning person,,
meinten,"Sie meinten, dass sie ihn so...",en,think that...,,
zufall,...ist doch alles kein Zufall.,en,"(der) chance, accident, coincidence",,
wasserturm,…will er Marie am Wasserturm treffen.,en,"(der, -:e)  n. water tower",,
andererseits,Andererseits: Sie hatte sich sehr…,en,on the other hand,,
brett,…einer Plastiktüte an einem Brett angeklebt.,en,"board, plank, slab, long flat piece of wood",,
gelöst,…Mordfall an einer Fußballspielerin gelöst.,en,solved,,
